Pure ID,Journal ISSN
2195532051,0897-4756
2195532038,
2195531947,0025-5874
2195531913,2211-2855
2195531888,
2195531865,2325-5870
2195531770,0019-1035
2195531745,0022-3468
2195531721,1523-4614
2195531669,0022-3468
2195531643,0013-936X
2195531612,0340-0727
2195531607,
2195531541,0013-8282
2195531519,1047-482X
2195531493,1075-4253
2195531482,
2195531391,1090-7165
2195531374,
2195531357,
2195531338,1680-7316
2195531176,0951-6298
2195531154,0001-4826
2195531134,0307-3378
2195531121,1083-4362
2195531054,
2195531028,1066-033X
2195530997,1867-3880
2195530982,
2195530925,0047-2484
2195530898,0718-8447
2195530868,0360-2370
2195530848,0003-3472
2195530824,
2195530809,
2195530786,2169-9003
2195530747,1076-898X
2195530702,
2195530675,1748-6041
2195530644,
2195530624,0749-596X
2195530580,1051-1377
2195530536,0556-2813
2195530509,1044-1549
2195530473,0360-5442
2195530377,0273-4508
2195530364,
2195530331,1078-1919
2195530304,0022-1767
2195530287,1044-4068
2195530268,0031-9007
2195530231,1751-6161
2195530206,0145-2134
2195530165,0929-6174
2195530131,0013-4651
2195530106,1528-3542
2195530096,
2195530059,1743-923X
2195530024,0277-2833
2195530004,2040-3364
2195529970,1530-6984
2195529958,
2195529893,
2195529841,1530-3667
2195529819,
2195529805,
2195529758,0948-8294
2195529733,0026-4075
2195529717,
2195529704,0963-0252
2195529641,
2195529623,0022-0531
2195529602,8756-6222
2195529584,0898-1221
2195529564,0034-6535
2195529529,
2195529456,0094-8276
2195529405,2213-5979
2195529389,0094-8276
2195529345,0002-7863
2195529315,1754-5692
2195529271,
2195529251,0003-889X
2195529237,0037-8046
2195529187,
2195529156,0090-4392
2195529131,
2195529113,0012-821X
2195529046,
2195529039,0556-2813
2195529011,1548-8403
2195528960,1356-3475
2195528941,0002-7863
2195528929,
2195528885,0020-8183
2195528857,0031-9201
2195528838,
2195528821,0018-9294
2195528767,0031-9201
2195528735,
2195528726,
2195528692,0022-3468
2195528641,
2195528628,1674-7291
2195528584,1472-2747
2195528541,1680-7316
2195528520,0034-8910
2195528488,2040-5960
2195528433,2169-897X
2195528400,0091-6765
2195528371,
2195528351,1065-9129
2195528250,1000-0593
2195528228,0556-3321
2195528198,0022-4391
2195528177,1060-9164
2195528092,0275-2565
2195528073,1945-7669
2195528056,
2195527905,0277-786X
2195527575,0934-4373
2195527218,0954-3899
2195527128,0935-9648
2195527079,1094-3412
2195527048,1525-2027
2195527027,2469-9950
2195527006,1386-9620
2195524917,1083-3668
2195524901,
2195524863,
2195524808,
2195524781,1063-651X
2195524746,1352-2310
2195524718,0038-6308
2195524654,0066-4308
2195524626,1946-6234
2195524598,0301-4460
2195524578,0191-6599
2195524502,0003-6846
2195524477,0733-4249
2195524462,0090-502X
2195524425,1073-449X
2195524403,
2195524374,1532-4435
2195524346,0032-8332
2195524304,1432-8488
2195524270,1754-5692
2195524210,
2195524176,
2195523973,0021-9584
2195523950,0009-2509
2195523938,
2195523904,
2195523883,0956-7976
2195523844,1744-683X
2195523818,2155-5435
2195523634,0959-9428
2195523606,
2195523581,
2195523549,1042-0533
2195523526,
2195523505,0022-1082
2195523483,0142-7164
2195523446,0019-1035
2195523425,1058-725X
2195523391,0013-4651
2195523380,
2195523334,2169-9097
2195523302,1044-0305
2195523279,0090-5054
2195523261,0003-0554
2195523224,1415-790X
2195523206,1361-374X
2195523160,0003-066X
2195523138,
2195523096,0094-8276
2195523064,1077-8012
2195523044,0832-8781
2195523027,0015-704X
2195522983,0092-8674
2195522963,
2195522943,2169-9097
2195522928,
2195522884,1523-4614
2195522861,0091-7435
2195522838,2469-9926
2195522819,0938-2259
2195522778,0002-9556
2195522744,0894-587X
2195522724,1059-8596
2195522709,1094-4087
2195522666,0021-9533
2195522645,0013-4651
2195522626,
2195522601,1740-1445
2195522574,0002-7863
2195522545,0013-936X
2195522519,
2195522501,0002-8711
2195522454,1060-1503
2195522427,1532-673X
2195522408,
2195522395,0735-2166
2195522354,1369-7412
2195522335,0167-7152
2195522306,0893-9659
2195522287,
2195522260,0009-2541
2195522249,
2195522188,1022-1824
2195522167,1042-9573
2195522137,0269-9931
2195522117,1050-2947
2195522087,1091-1359
2195522033,2040-3364
2195522014,1369-801X
2195521996,1352-4739
2195521969,0277-786X
2195521886,1744-1692
2195521847,
2195521826,1049-7315
2195521791,0040-5833
2195521765,0016-8092
2195521722,0014-9187
2195521701,
2195521685,0001-8708
2195521665,2690-3733
2195521624,
2195521606,0003-1224
2195521579,0277-9536
2195521503,0376-7388
2195521486,
2195521466,0095-8972
2195521435,0009-7322
2195521347,0882-7974
2195521324,1479-2443
2195521303,1076-898X
2195521290,
2195521247,
2195521224,0028-3932
2195521200,1545-1151
2195521160,0393-0440
2195521133,0004-637X
2195521111,1098-0121
2195521091,2469-9950
2195521070,0002-9483
2195521049,0006-3495
2195521032,0001-9887
2195521015,0021-9398
2195520985,0026-8925
2195520956,1059-1524
2195520932,2469-9985
2195520917,0262-5245
2195520902,0016-7037
2195520841,0021-843X
2195520820,1050-2947
2195520801,
2195520785,0022-0965
2195520749,2379-1683
2195520725,0921-142X
2195520695,0013-4651
2195520678,
2195520629,0956-540X
2195520606,0271-8294
2195520582,0254-0584
2195520566,0015-1386
2195520508,1359-7345
2195520482,1355-8382
2195520459,1525-2027
2195520430,0019-1035
2195520386,2451-9103
2195520364,
2195520342,0028-0836
2195520324,0163-5999
2195520269,0895-4798
2195520254,1077-5595
2195520234,0003-066X
2195520222,
2195520172,2470-0045
2195520144,0935-9648
2195520120,1754-3916
2195520108,
2195520026,0304-405X
2195520006,
2195519972,
2195519952,
2195519828,0094-8276
2195519801,1517-8692
2195519787,
2195519771,8755-1209
2195519707,0939-7248
2195519675,0179-0358
2195519644,0277-9269
2195519598,
2195519555,2211-3681
2195519508,0143-2885
2195519478,1680-7316
2195519473,
2195519452,0142-7164
2195519391,1042-0533
2195519350,0375-9474
2195519332,
2195519233,0031-9007
2195519211,0031-9201
2195519186,1471-2229
2195519169,0021-9606
2195519108,0950-382X
2195519078,
2195519037,
2195519035,0023-852X
2195518953,0002-7863
2195518909,
2195518880,1605-7422
2195518864,
2195518826,1680-7316
2195518801,0033-3204
2195518768,
2195518744,0897-4756
2195518644,0165-4101
2195518626,1555-0753
2195518590,0004-637X
2195518558,1864-5631
2195518490,0021-9606
2195518443,1745-2473
2195518418,0253-4126
2195518389,0959-8146
2195518369,0882-7524
2195518233,1545-5009
2195518203,
2195518191,
2195518182,0028-0836
2195518123,1742-6588
2195518086,0556-2813
2195518070,0010-7999
2195518046,0951-0605
2195517932,1359-7345
2195517908,1078-1919
2195517883,0018-9286
2195517858,0148-0227
2195517798,2211-2855
2195517775,1079-0268
2195517758,0266-3554
2195517736,0304-3932
2195517656,
2195517619,0960-9822
2195517596,
2195517581,0031-9007
2195517483,0090-502X
2195517462,
2195517439,0178-4617
2195517415,2469-9926
2195517365,0026-749X
2195517345,
2195517324,0148-0227
2195517294,0027-8424
2195517264,0009-3920
2195517244,1549-1277
2195517220,0529-6579
2195517196,0160-4120
2195517087,0017-9310
2195517077,
2195517030,
2195517003,1680-7316
2195516975,
2195516960,1754-5692
2195516882,
2195516839,0140-6736
2195516830,
2195516807,0743-7463
2195516720,
2195516663,1866-3508
2195516628,
2195516615,0031-9201
2195516392,0012-1649
2195516337,0161-3499
2195516303,0013-936X
2195516282,
2195516267,1520-6106
2195516034,1680-7316
2195516014,0304-4181
2195515985,2211-2855
2195515963,0965-8211
2195515884,0021-8502
2195515859,
2195515840,0022-1082
2195515784,1523-4614
2195515763,1558-8599
2195515740,0031-9007
2195515716,0025-1909
2195515702,0022-1082
2195515615,
2195515602,2159-9785
2195515585,0014-1704
2195515558,0022-1201
2195515512,
2195515489,1057-7408
2195515472,
2195515456,1524-2226
2195515411,0095-2583
2195515401,
2195515364,0894-587X
2195515299,0002-9297
2195515266,
2195515245,0020-8183
2195515096,0028-0836
2195515067,0037-1106
2195515012,1470-2045
2195515001,
2195514926,
2195514913,0002-7863
2195514873,1083-3668
2195514843,0013-9351
2195514820,
2195514806,0733-8716
2195514745,0003-6951
2195514728,1468-2702
2195514681,
2195514644,
2195514623,1052-3073
2195514607,0305-4985
2195514574,0935-9648
2195514554,0191-6599
2195514533,0196-0202
2195514513,2475-1448
2195514477,
2195514447,1368-9800
2195514427,0749-5978
2195514409,1098-0121
2195514332,2050-7488
2195514304,0003-813X
2195514268,1934-1482
2195514238,1740-8695
2195514154,
2195514112,2469-9985
2195514086,
2195514065,0279-6015
2195514045,0261-5606
2195513929,0031-9007
2195513903,0960-9822
2195513881,
2195513869,0031-9007
2195513810,1759-7269
2195513797,
2195513772,0012-8163
2195513746,1098-0121
2195513725,1527-5256
2195513704,0084-6570
2195513680,1543-3080
2195513627,
2195513605,
2195513588,1932-7447
2195513562,0023-9216
2195513516,1083-3668
2195513497,
2195513477,0022-3654
2195513460,
2195513414,
2195513395,
2195513377,1749-4885
2195513346,0882-7974
2195513328,1867-1381
2195513291,1198-9742
2195513250,0019-1035
2195513215,
2195513213,
2195513105,
2195513086,1530-6984
2195513063,
2195513050,0740-3224
2195513024,0034-6535
2195512998,1574-1192
2195512978,
2195512963,
2195512927,
2195512906,0003-5491
2195512879,
2195512871,2166-742X
2195512730,
2195512700,2469-9950
2195512679,0018-9197
2195512661,0021-8863
2195512575,0026-4423
2195512553,1558-447X
2195512524,0027-8424
2195512507,0022-3514
2195512456,1050-2947
2195512437,0734-306X
2195512385,1083-3668
2195512369,
2195512338,0165-4101
2195512309,0167-6296
2195512277,1415-790X
2195512244,
2195512219,0003-4975
2195512199,1680-7316
2195512142,1533-7146
2195512110,
2195512097,0951-631X
2195512076,1499-4046
2195512041,0036-8075
2195512021,0003-0554
2195511991,0040-1951
2195511966,0013-936X
2195511912,0165-4101
2195511885,1099-0062
2195511854,1433-7851
2195511834,0027-8424
2195511806,0897-4756
2195511789,0003-0554
2195511754,0012-821X
2195511732,1617-7959
2195511710,
2195511692,0277-2833
2195511668,1041-1135
2195511638,0295-5075
2195511619,1003-9015
2195511584,0027-8424
2195511564,0027-8424
2195511511,2169-9313
2195511494,
2195511479,0025-5874
2195511463,1070-5309
2195511427,1479-2443
2195511402,0374-3535
2195511382,
2195511369,0002-9947
2195511317,0031-9201
2195511295,
2195511275,0031-9201
2195511249,0145-4455
2195511169,
2195511142,0378-4266
2195511130,
2195511106,0047-2506
2195511083,2469-9985
2195511060,0959-6526
2195511012,0959-9428
2195510973,0004-637X
2195510900,0022-2216
2195510885,0092-5853
2195510861,0003-2700
2195510840,2046-9128
2195510788,0020-7144
2195510750,0734-306X
2195510732,
2195510712,0965-7576
2195510688,0022-0027
2195510667,1050-2947
2195510652,0889-9746
2195510595,0001-4826
2195510565,0956-540X
2195510535,0885-7482
2195510513,1350-7265
2195510463,2164-6457
2195510435,0364-765X
2195510416,
2195510397,0894-4105
2195510362,1605-7422
2195510337,1087-5549
2195510304,0885-2014
2195510291,
2195510253,0883-4237
2195510228,0957-8765
2195510208,1000-9361
2195510187,0008-4085
2195510114,2042-8898
2195510088,1943-3921
2195510064,
2195510051,0098-7484
2195509983,
2195509960,
2195509947,0032-3217
2195509910,
2195509889,0022-3727
2195509876,
2195509849,0091-3286
2195509825,1042-9573
2195509802,0022-4545
2195509787,0140-525X
2195509760,0148-0227
2195509731,0893-9454
2195509710,0020-1693
2195509693,1523-4614
2195509672,0304-405X
2195509628,
2195509598,0277-9536
2195509576,0003-004X
2195509554,0027-8424
2195509502,
2195509477,0938-2259
2195509434,
2195509420,0030-8129
2195509325,
2195509281,1535-9476
2195509252,0094-8276
2195509154,0148-3331
2195509133,1088-9051
2195509116,
2195509106,0307-661X
2195509059,1661-7827
2195509043,
2195509019,0039-3223
2195508996,
2195508944,
2195508924,0022-0965
2195508904,0266-4666
2195508864,1745-6215
2195508833,0031-4005
2195508815,1050-9208
2195508728,1065-9129
2195508692,0168-9002
2195508672,
2195508645,0194-5998
2195508612,2157-6904
2195508583,1936-0851
2195508561,
2195508546,0022-1082
2195508492,0190-7409
2195508467,0022-4545
2195508451,0021-8979
2195508432,0018-2206
2195508392,1517-8692
2195508363,
2195508344,
2195508328,0038-4038
2195508263,0012-1649
2195508205,1063-7788
2195508175,1044-3894
2195508154,1070-5309
2195508140,0037-7732
2195508092,1682-1750
2195508050,1094-4087
2195508035,
2195508021,0895-7177
2195507992,1616-301X
2195507944,0018-9286
2195507902,0005-7959
2195507883,0046-3663
2195507846,
2195507819,
2195507754,0363-6143
2195507724,0021-8537
2195507702,0003-6951
2195507659,
2195507633,1932-8184
2195507532,
2195507498,0935-9648
2195507474,
2195507450,0027-8424
2195507391,0749-596X
2195507353,0003-6951
2195507329,0022-3468
2195507308,1055-8586
2195507290,0002-9157
2195507239,1527-2729
2195507203,0037-8046
2195507190,
2195507174,
2195507098,0020-7683
2195507087,
2195507051,0890-8567
2195507026,1944-8244
2195506993,1040-4651
2195506972,0166-0462
2195506939,2334-0835
2195506885,0027-8874
2195506854,1063-4266
2195506841,
2195506771,
2195506754,0278-2715
2195506728,1362-4393
2195506704,1936-0851
2195506662,0034-6535
2195506634,0013-9351
2195506616,
2195506603,0743-3808
2195506519,1879-6397
2195506491,0163-4372
2195506459,0956-7976
2195506423,1537-4416
2195506382,1867-1381
2195506362,1090-1981
2195506202,1474-7472
2195506185,2352-409X
2195506161,0956-7925
2195506149,
2195506078,0378-4266
2195506053,0022-3468
2195506032,0009-4021
2195506020,
2195505976,1751-7362
2195505951,
2195505923,1661-6952
2195505904,
2195505818,
2195505784,1745-0128
2195505763,0038-4941
2195505738,0737-4453
2195505682,1049-510X
2195505651,0031-5117
2195505621,0013-4651
2195505598,1474-7472
2195505576,0019-1035
2195505537,
2195505504,0022-2291
2195505486,
2195505471,
2195505412,0378-7753
2195505388,
2195505369,0031-9007
2195505345,0094-8276
2195505277,
2195505263,
2195505241,
2195505220,1059-1478
2195505197,0022-0078
2195505169,2374-3735
2195505154,0002-7162
2195505099,0002-8282
2195505076,1559-128X
2195505058,
2195505042,0025-1909
2195504984,8755-1209
2195504963,0022-3468
2195504914,
2195504896,1043-7797
2195504868,0148-0227
2195504830,
2195504810,0026-7910
2195504786,0009-3920
2195504758,1463-9076
2195504738,0028-0836
2195504667,0013-936X
2195504647,2046-1402
2195504603,2155-5435
2195504573,
2195504554,1613-0073
2195504540,0163-1829
2195504516,0146-9592
2195504415,0028-0836
2195504386,
2195504356,
2195504337,0022-1082
2195504237,1353-8292
2195504206,1868-8527
2195504186,0003-6846
2195504160,0036-8075
2195504113,
2195504076,0019-1035
2195504046,0028-3932
2195504025,1070-5309
2195504001,
2195503985,0142-7164
2195503950,0160-4120
2195503908,1680-7316
2195503879,
2195503858,0028-0836
2195503708,0921-898X
2195503684,1615-3375
2195503660,1549-3296
2195503637,0035-8711
2195503580,0307-661X
2195503558,
2195503526,2050-7887
2195503523,
2195503460,0140-1971
2195503430,0897-3806
2195503400,1745-0128
2195503373,0926-3373
2195503274,0013-4651
2195503244,0022-3514
2195503218,
2195503205,0146-9592
2195503143,
2195503126,0092-5853
2195503105,0012-9682
2195503090,0094-8276
2195503061,0047-2484
2195503034,1350-1763
2195503011,
2195502999,
2195502940,0022-3816
2195502908,
2195502887,0149-7952
2195502863,0013-4651
2195502842,0094-8276
2195502793,0102-311X
2195502770,0016-7037
2195502755,0743-3808
2195502734,0044-118X
2195502632,0956-7976
2195502612,0037-7961
2195502595,0028-6087
2195502578,0016-7037
2195502544,
2195502521,0040-1951
2195502500,
2195502474,
2195502415,2155-5435
2195502384,0013-936X
2195502362,0295-5075
2195502348,1064-8208
2195502221,0935-9648
2195502191,1553-7390
2195502165,
2195502147,
2195501982,0013-4651
2195501964,1050-2947
2195501941,0001-4842
2195501916,1389-4986
2195501856,1547-3929
2195501838,
2195501822,0026-7910
2195501803,1350-1674
2195501737,
2195501726,2096-9457
2195501696,1543-3080
2195501682,
2195501601,0486-3739
2195501585,0295-5075
2195501563,0084-6597
2195501540,1528-3542
2195501491,0219-1377
2195501461,1438-793X
2195501435,0143-9782
2195501418,0019-1035
2195501378,0025-5874
2195501359,0885-3010
2195501322,0962-8436
2195501306,0028-2677
2195501211,0740-2775
2195501187,1572-3089
2195501157,0882-7974
2195501142,0891-2432
2195501122,1077-8926
2195501094,0094-8276
2195501044,0003-2700
2195501021,
2195501001,
2195500973,0956-7976
2195500947,0027-8424
2195500889,0199-6231
2195500857,1073-449X
2195500834,0095-7984
2195500789,1533-2985
2195500771,1531-023X
2195500738,1070-5309
2195500725,
2195500696,1932-7447
2195500669,0022-2488
2195500649,0015-1386
2195500622,
2195500597,0143-2095
2195500553,0016-7037
2195500533,0890-8044
2195500505,0268-3946
2195500494,
2195500442,1016-443X
2195500415,0033-4545
2195500398,0165-1765
2195500382,0031-9007
2195500351,0278-6826
2195500330,0140-9883
2195500309,0028-0836
2195500287,0065-0668
2195500272,
2195500237,1045-0823
2195500220,0161-5750
2195500188,1741-038X
2195500171,0095-7984
2195500094,0003-598X
2195500071,0251-0790
2195500048,0022-3514
2195500021,0047-2484
2195499946,0841-8209
2195499925,0022-0167
2195499904,1359-6640
2195499887,0190-7409
2195499834,
2195499760,2470-0010
2195499735,0001-4966
2195499719,
2195499674,1050-2947
2195499649,1680-7316
2195499637,
2195499613,1047-7039
2195499593,0005-9021
2195499576,1520-3247
2195499546,1936-0851
2195499485,
2195499468,0091-3286
2195499382,0190-5848
2195499355,0006-2952
2195499326,2469-9950
2195499315,0028-6087
2195499245,
2195499216,2469-9985
2195499191,1530-6984
2195499172,0022-0965
2195499103,2210-6707
2195499080,0363-8715
2195499057,1385-951X
2195499042,0196-0202
2195498988,0378-620X
2195498970,0021-9606
2195498939,
2195498925,
2195498853,0036-8075
2195498714,0047-2727
2195498691,0278-2715
2195498664,
2195498649,0002-7863
2195498568,0022-3506
2195498546,2469-9950
2195498520,
2195498505,0021-9606
2195498392,0886-2605
2195498375,1051-1482
2195498335,1076-5174
2195498190,
2195498142,1044-3894
2195498091,1540-9996
2195498065,1042-0533
2195497788,
2195497767,
2195497742,0003-6951
2195497715,2949-8767
2195497697,0037-7732
2195497621,2469-9926
2195497602,0920-5632
2195497578,0025-1909
2195497563,
2195497524,
2195497508,0003-6951
2195497472,0032-8332
2195497454,0142-7164
2195497376,0016-7037
2195497354,1534-5807
2195497330,2169-9313
2195497311,0008-414X
2195497243,
2195497223,
2195497193,0094-8276
2195497171,1047-7039
2195497137,0018-9545
2195497125,
2195497086,
2195497053,
2195497041,
2195496981,1050-2947
2195496962,
2195496947,0019-1035
2195496911,
2195496885,1530-6984
2195496865,0022-4545
2195496821,0009-2819
2195496791,1543-3714
2195496762,0031-9007
2195496737,
2195496712,0047-2727
2195496667,0739-0572
2195496650,1867-1748
2195496612,
2195496590,1532-673X
2195496545,0021-9398
2195496527,0278-7393
2195496494,1543-3714
2195496449,1944-8244
2195496423,
2195496404,
2195496382,0036-8075
2195496296,1872-0218
2195496272,0022-3514
2195496253,
2195496236,0022-2445
2195496187,
2195496147,0141-0423
2195496107,
2195496087,
2195496071,0304-4068
2195496004,0022-0531
2195495973,1869-6716
2195495948,2050-7488
2195495928,0031-9007
2195495905,
2195495845,0013-936X
2195495820,
2195495799,
2195495775,
2195495707,0022-1082
2195495684,0094-8276
2195495659,0148-0227
2195495626,1086-9379
2195495592,0270-9139
2195495576,0022-3654
2195495559,0378-4266
2195495520,1680-7316
2195495491,0003-004X
2195495465,0191-5886
2195495414,1387-2532
2195495389,
2195495345,1869-6716
2195495314,0031-9023
2195495285,0013-4686
2195495268,0001-0782
2195495140,2327-3798
2195495104,1040-1334
2195495078,
2195495065,0197-4327
2195495048,1076-9307
2195494985,
2195494966,0276-7333
2195494938,1056-4993
2195494923,1933-6837
2195494881,0018-9294
2195494854,2469-9950
2195494841,
2195494830,
2195494780,0898-929X
2195494761,
2195494738,0010-4140
2195494719,1043-4631
2195494679,2469-9926
2195494654,0964-1998
2195494630,1352-2310
2195494613,1042-9573
2195494592,2405-6472
2195494551,0961-4524
2195494519,
2195494492,
2195494468,0939-7248
2195494430,0003-6846
2195494258,1680-7316
2195494210,0360-4918
2195494198,
2195494144,0179-0358
2195494107,1040-1237
2195494071,0012-821X
2195494038,
2195494016,0935-9648
2195493959,0926-3373
2195493939,
2195493921,1076-9307
2195493895,1352-2310
2195493859,1522-8835
2195493840,0003-6846
2195493788,0140-6736
2195493761,0034-8910
2195493667,0020-1669
2195493644,0003-0678
2195493617,0009-4021
2195493598,1936-0851
2195493562,1052-1151
2195493504,2470-0010
2195493484,0218-3013
2195493463,
2195493427,0273-4508
2195493406,0096-1515
2195493385,0014-9187
2195493367,0143-2095
2195493311,
2195493295,0094-8276
2195493270,0341-8162
2195493258,
2195493220,1094-2025
2195493201,2049-8470
2195493176,1680-7316
2195493158,
2195493104,
2195493074,1533-2985
2195493058,
2195493043,
2195492962,2329-4965
2195492945,0734-306X
2195492924,1935-7524
2195492903,0360-5442
2195492841,0002-7863
2195492807,1062-1024
2195492789,
2195492773,1098-0121
2195492724,
2195492696,
2195492678,0743-1546
2195492661,
2195492603,1944-8244
2195492573,0032-8332
2195492554,0021-7824
2195492531,0270-7306
2195492471,
2195492425,0925-2738
2195492397,0022-3506
2195492349,
2195492332,1073-7928
2195492126,0025-1909
2195492099,0960-4286
2195492080,1949-2006
2195492060,1070-5309
2195491992,0031-9007
2195491971,0021-8901
2195491941,0145-2134
2195491912,2169-9313
2195491892,
2195491878,0022-3654
2195491831,1861-4728
2195491803,0002-8711
2195491777,1020-4989
2195491754,0036-9292
2195491745,
2195491712,0960-1481
2195491689,1007-2014
2195491668,
2195491646,0022-3468
2195491590,0013-9351
2195491572,0034-6527
2195491523,0277-786X
2195491496,0091-6765
2195491467,0044-118X
2195491439,1433-7851
2195491376,0001-4966
2195491358,0002-9602
2195491335,
2195491318,0033-2909
2195491269,
2195491236,
2195491202,1054-139X
2195491183,
2195491119,0032-8332
2195491087,0148-0227
2195491061,
2195491016,0019-1035
2195490998,1097-6256
2195490919,1090-820X
2195490878,
2195490860,
2195490846,0092-5853
2195490738,0002-8282
2195490685,0095-2583
2195490669,0047-2484
2195490646,0960-3107
2195490610,0144-686X
2195490581,1530-6984
2195490551,0001-8708
2195490543,
2195490459,0895-0695
2195490435,0165-1889
2195490411,
2195490395,0960-3107
2195490289,
2195490251,
2195490204,
2195490178,0887-302X
2195490132,0038-6308
2195490101,0019-1035
2195490072,2050-3318
2195490053,
2195489985,0022-4359
2195489958,0261-5606
2195489932,0074-1795
2195489913,
2195489894,1545-5009
2195489869,
2195489778,
2195489749,0038-4038
2195489736,0003-066X
2195489709,0013-936X
2195489694,0003-6846
2195489632,1464-343X
2195489519,0066-4146
2195489495,
2195489473,2157-6564
2195489447,0065-7727
2195489368,1871-1014
2195489349,
2195489311,2169-9313
2195489308,
2195489262,0013-936X
2195489239,
2195489208,0031-9007
2195489188,
2195489071,0378-5955
2195489026,0740-9710
2195488998,0001-4966
2195488970,0036-8075
2195488953,0317-0209
2195488882,0007-1234
2195488858,0002-9637
2195488830,0021-843X
2195488809,0037-5497
2195488792,2168-9105
2195488755,0065-0668
2195488737,0031-9007
2195488712,1745-0128
2195488696,
2195488658,0194-7648
2195488630,0022-3751
2195488607,0002-7863
2195488590,0732-9113
2195488567,0016-7037
